book_id,title,category,page_count,has_action_guide,difficulty
1,The Data of Data (Business),BUSINESS,371,True,1
2,The Data of Money (Economics),Economics,489,False,1
3,The Growth of Code (Economics),Economics,468,False,5
4,The Growth of Money (Marketing),Marketing,535,False,3
5,The Thinking of Habits (Marketing),Marketing,358,True,2
6,The Power of Growth (Self-Help),Self-Help,-100,False,3
7,The Money of Mindset (Marketing),Marketing,366,False,1
8,The Growth of Data (Technology),Technology,363,False,1
9,The Code of Power (Business),Business,225,False,4
10,The Money of Data (Economics),Economics,310,False,2
11,The Data of Thinking (Economics),Economics,502,False,1
12,The Data of Future (Business),Business,563,True,4
13,The Strategy of Money (Self-Help),Self-Help,555,False,2
14,The Data of Strategy (Self-Help),Self-Help,292,True,4
15,The Power of Money (Business),Biz,509,True,3
16,The Money of Habits (Technology),Technology,539,False,1
17,The Future of Power (Business),Business,519,False,2
18,The Power of Data (Economics),Economics,467,False,3
19,The Growth of Strategy (Technology),Technology,233,False,2
20,The Power of Data (Self-Help),Self-Help,532,False,1
21,The Strategy of Future (Economics),Economics,511,False,2
22,The Strategy of Growth (Economics),Economics,236,False,1
23,The Code of Strategy (Marketing),Marketing,392,True,4
24,The Strategy of Code (Marketing),Marketing,541,False,5
25,The Mindset of Money (Technology),Technology,449,False,2
26,The Mindset of Habits (Technology),Technology,299,False,1
27,The Growth of Mindset (Technology),Technology,280,True,3
28,The Money of Thinking (Technology),Technology,594,True,1
29,The Data of Mindset (Economics),Economics,454,False,2
30,The Code of Money (Marketing),Marketing,173,True,4
31,The Data of Habits (Economics),Economics,513,False,4
32,The Code of Future (Self-Help),Self-Help,326,False,1
33,The Code of Growth (Economics),Economics,399,False,4
34,The Thinking of Growth (Self-Help),Self-Help,484,False,2
35,The Money of Mindset (Technology),Technology,520,True,5
36,The Money of Growth (Economics),Economics,280,False,5
37,The Thinking of Strategy (Business),Business,504,False,4
38,The Future of Power (Self-Help),Self-Help,-100,False,2
39,The Future of Thinking (Marketing),Marketing,474,True,1
40,The Money of Money (Economics),Economics,530,False,1
